old_indiv_id	indiv_id
AALIGNS001682	INDIV_0001
AALIGNS001686	INDIV_0002
AALIGNS002454	INDIV_0003
AALIGNS002446	INDIV_0003
AALIGNS002458	INDIV_0004
AALIGNS002453	INDIV_0004
AALIGNS002455	INDIV_0004
AALIGNS002456	INDIV_0004
AALIGNS002457	INDIV_0004
AALIGNS003139	INDIV_0004
AALIGNS003140	INDIV_0005
AALIGNS002452	INDIV_0005
AALIGNS003133	INDIV_0005
AALIGNS003134	INDIV_0005
AALIGNS003137	INDIV_0005
AALIGNS003138	INDIV_0005
AALIGNS001690	INDIV_0006
AALIGNS001631	INDIV_0007
AALIGNS003497	INDIV_0008
AALIGNS002943	INDIV_0009
AALIGNS002040	INDIV_0009
AALIGNS003144	INDIV_0009
AALIGNS003143	INDIV_0009
AALIGNS003141	INDIV_0009
AALIGNS003142	INDIV_0009
AALIGNS002035	INDIV_0010
AALIGNS002033	INDIV_0010
AALIGNS002947	INDIV_0010
AALIGNS002946	INDIV_0010
AALIGNS002948	INDIV_0010
AALIGNS002945	INDIV_0010
AALIGNS002034	INDIV_0010
AALIGNS002038	INDIV_0010
AALIGNS002039	INDIV_0010
AALIGNS002950	INDIV_0010
AALIGNS002949	INDIV_0010
AALIGNS002465	INDIV_0011
AALIGNS002944	INDIV_0011
AALIGNS003135	INDIV_0011
AALIGNS002466	INDIV_0011
AALIGNS003136	INDIV_0011
AALIGNS002461	INDIV_0011
AALIGNS007785	INDIV_0012
AALIGNS002788	INDIV_0012
AALIGNS009190	INDIV_0012
AALIGNS009151	INDIV_0013
AALIGNS009145	INDIV_0013
AALIGNS007786	INDIV_0013
AALIGNS009138	INDIV_0013
AALIGNS002037	INDIV_0013
AALIGNS009141	INDIV_0013
AALIGNS007784	INDIV_0013
AALIGNS009144	INDIV_0013
AALIGNS009153	INDIV_0013
AALIGNS002463	INDIV_0013
AALIGNS009152	INDIV_0013
AALIGNS002785	INDIV_0013
AALIGNS002464	INDIV_0013
AALIGNS002786	INDIV_0013
AALIGNS002787	INDIV_0013
AALIGNS000798	INDIV_0013
AALIGNS002450	INDIV_0014
AALIGNS002448	INDIV_0014
AALIGNS002445	INDIV_0014
AALIGNS002447	INDIV_0015
AALIGNS003498	INDIV_0015
AALIGNS009149	INDIV_0016
AALIGNS009147	INDIV_0016
AALIGNS002459	INDIV_0017
AALIGNS002462	INDIV_0017
AALIGNS002460	INDIV_0018
AALIGNS002449	INDIV_0018
AALIGNS009148	INDIV_0018
AALIGNS009155	INDIV_0018
AALIGNS009143	INDIV_0018
AALIGNS000799	INDIV_0018
AALIGNS009189	INDIV_0019
AALIGNS009193	INDIV_0019
AALIGNS002451	INDIV_0019
AALIGNS009194	INDIV_0020
AALIGNS009150	INDIV_0021
AALIGNS009142	INDIV_0021
AALIGNS009140	INDIV_0021
AALIGNS009156	INDIV_0022
AALIGNS003495	INDIV_0022
AALIGNS009154	INDIV_0023
AALIGNS009137	INDIV_0024
AALIGNS009187	INDIV_0025
AALIGNS001630	INDIV_0026
AALIGNS003496	INDIV_0027
AALIGNS001073	INDIV_0028
AALIGNS001074	INDIV_0029
AALIGNS000963	INDIV_0030
AALIGNS000964	INDIV_0031
AALIGNS001071	INDIV_0032
AALIGNS000970	INDIV_0033
AALIGNS001072	INDIV_0034
AALIGNS001082	INDIV_0035
AALIGNS001077	INDIV_0036
AALIGNS002140	INDIV_0037
AALIGNS001078	INDIV_0038
AALIGNS002135	INDIV_0039
AALIGNS002136	INDIV_0040
AALIGNS000968	INDIV_0041
AALIGNS002142	INDIV_0042
AALIGNS000957	INDIV_0043
AALIGNS007688	INDIV_0044
AALIGNS007684	INDIV_0044
AALIGNS007683	INDIV_0044
AALIGNS007680	INDIV_0044
AALIGNS007679	INDIV_0044
AALIGNS007687	INDIV_0044
AALIGNS009600	INDIV_0045
AALIGNS009601	INDIV_0045
AALIGNS009599	INDIV_0045
AALIGNS007681	INDIV_0045
AALIGNS007685	INDIV_0045
