old_indiv_id	indiv_id
DALIGNS000520_1	INDIV_0001
DALIGNS000524_1	INDIV_0002
DALIGNS000390	INDIV_0003
DALIGNS001420	INDIV_0004
DALIGNS001419	INDIV_0004
DALIGNS001417	INDIV_0004
DALIGNS001423	INDIV_0004
DALIGNS001424	INDIV_0004
DALIGNS001429	INDIV_0004
DALIGNS001431	INDIV_0004
DALIGNS001541	INDIV_0004
DALIGNS001757	INDIV_0004
DALIGNS001426	INDIV_0004
DALIGNS001778	INDIV_0005
DALIGNS001539	INDIV_0005
DALIGNS001766	INDIV_0005
DALIGNS001785	INDIV_0005
DALIGNS001774	INDIV_0005
DALIGNS001792	INDIV_0005
DALIGNS001794	INDIV_0005
DALIGNS001798	INDIV_0005
DALIGNS001548	INDIV_0005
DALIGNS001547	INDIV_0005
DALIGNS001755	INDIV_0006
DALIGNS001535	INDIV_0007
DALIGNS001779	INDIV_0007
DALIGNS001782	INDIV_0007
DALIGNS001786	INDIV_0007
DALIGNS001788	INDIV_0007
DALIGNS001422	INDIV_0007
DALIGNS001790	INDIV_0007
DALIGNS001777	INDIV_0007
DALIGNS001793	INDIV_0007
DALIGNS001418	INDIV_0007
DALIGNS001796	INDIV_0007
DALIGNS001767	INDIV_0007
DALIGNS001772	INDIV_0007
DALIGNS001534	INDIV_0007
DALIGNS001421	INDIV_0007
DALIGNS001799	INDIV_0007
DALIGNS001797	INDIV_0007
DALIGNS001773	INDIV_0007
DALIGNS001765	INDIV_0007
DALIGNS000572_2	INDIV_0007
DALIGNS001769	INDIV_0007
DALIGNS001775	INDIV_0007
DALIGNS001544	INDIV_0007
DALIGNS001533	INDIV_0007
DALIGNS001425	INDIV_0007
DALIGNS001762	INDIV_0007
DALIGNS001427	INDIV_0007
DALIGNS001428	INDIV_0007
DALIGNS001761	INDIV_0007
DALIGNS001430	INDIV_0007
DALIGNS001760	INDIV_0007
DALIGNS001759	INDIV_0007
DALIGNS001537	INDIV_0007
DALIGNS001536	INDIV_0007
DALIGNS000520_2	INDIV_0007
DALIGNS001540	INDIV_0007
DALIGNS001756	INDIV_0007
DALIGNS000524_2	INDIV_0007
DALIGNS001216	INDIV_0007
DALIGNS001768	INDIV_0007
DALIGNS001538	INDIV_0007
DALIGNS001546	INDIV_0007
DALIGNS001545	INDIV_0007
DALIGNS001542	INDIV_0007
DALIGNS001791	INDIV_0008
DALIGNS001526	INDIV_0008
DALIGNS001754	INDIV_0008
DALIGNS001787	INDIV_0008
DALIGNS001776	INDIV_0009
DALIGNS001529	INDIV_0009
DALIGNS001532	INDIV_0010
DALIGNS000572_1	INDIV_0011
DALIGNS001758	INDIV_0012
DALIGNS001763	INDIV_0013
DALIGNS001521	INDIV_0013
DALIGNS001527	INDIV_0013
DALIGNS001523	INDIV_0014
DALIGNS001530	INDIV_0015
DALIGNS001520	INDIV_0016
DALIGNS001049	INDIV_0017
DALIGNS001524	INDIV_0018
DALIGNS001531	INDIV_0019
DALIGNS001522	INDIV_0020
DALIGNS000233_2	INDIV_0021
DALIGNS000302_3	INDIV_0022
DALIGNS000302_2	INDIV_0023
DALIGNS000541_2	INDIV_0023
DALIGNS000428	INDIV_0023
DALIGNS000803_5	INDIV_0024
DALIGNS000296_1	INDIV_0025
DALIGNS001573	INDIV_0026
DALIGNS001173	INDIV_0026
DALIGNS001570	INDIV_0026
DALIGNS000220_3	INDIV_0026
DALIGNS000541_3	INDIV_0027
DALIGNS000361_5	INDIV_0027
DALIGNS000361_4	INDIV_0027
DALIGNS000361_3	INDIV_0027
DALIGNS000569_5	INDIV_0027
DALIGNS000153_3	INDIV_0027
DALIGNS000153_2	INDIV_0027
DALIGNS000163_5	INDIV_0027
DALIGNS000803_1	INDIV_0027
DALIGNS001574	INDIV_0027
DALIGNS001572	INDIV_0027
DALIGNS001571	INDIV_0027
DALIGNS000541_5	INDIV_0027
DALIGNS000153_4	INDIV_0028
DALIGNS000220_5	INDIV_0028
DALIGNS000296_3	INDIV_0028
DALIGNS000233_3	INDIV_0028
DALIGNS000044_1	INDIV_0028
DALIGNS000044_3	INDIV_0028
DALIGNS001575	INDIV_0028
DALIGNS000569_3	INDIV_0028
DALIGNS000233_5	INDIV_0028
DALIGNS000153_5	INDIV_0028
DALIGNS000044_5	INDIV_0029
DALIGNS000569_1	INDIV_0029
DALIGNS000296_5	INDIV_0030
DALIGNS000296_4	INDIV_0030
DALIGNS000569_4	INDIV_0030
DALIGNS000803_2	INDIV_0031
DALIGNS000163_1	INDIV_0032
DALIGNS000541_1	INDIV_0033
DALIGNS000044_2	INDIV_0034
DALIGNS000220_1	INDIV_0035
DALIGNS000569_2	INDIV_0036
DALIGNS000819_3	INDIV_0037
DALIGNS000819_2	INDIV_0038
DALIGNS001655	INDIV_0039
DALIGNS001843	INDIV_0040
DALIGNS001906	INDIV_0041
DALIGNS001907	INDIV_0042
DALIGNS001566	INDIV_0043
DALIGNS000684_2	INDIV_0044
DALIGNS000186_2	INDIV_0045
DALIGNS000186_1	INDIV_0045
DALIGNS001940	INDIV_0046
DALIGNS000782	INDIV_0047
DALIGNS001617	INDIV_0048
DALIGNS000163_3	INDIV_0049
DALIGNS000302_5	INDIV_0050
DALIGNS000819_4	INDIV_0051
DALIGNS000819_5	INDIV_0052
DALIGNS002050	INDIV_0053
DALIGNS002060	INDIV_0053
DALIGNS002064	INDIV_0054
DALIGNS002049	INDIV_0055
DALIGNS002047	INDIV_0055
DALIGNS002028	INDIV_0056
DALIGNS002023	INDIV_0056
DALIGNS002059	INDIV_0056
DALIGNS002048	INDIV_0056
DALIGNS002024	INDIV_0056
DALIGNS002052	INDIV_0056
DALIGNS002053	INDIV_0056
DALIGNS002065	INDIV_0056
DALIGNS002038	INDIV_0057
DALIGNS002025	INDIV_0057
DALIGNS002043	INDIV_0058
DALIGNS002044	INDIV_0058
DALIGNS002029	INDIV_0058
DALIGNS002063	INDIV_0058
DALIGNS002039	INDIV_0058
DALIGNS002035	INDIV_0058
DALIGNS002058	INDIV_0059
DALIGNS002033	INDIV_0060
DALIGNS002022	INDIV_0061
DALIGNS002054	INDIV_0062
DALIGNS002051	INDIV_0063
DALIGNS002067	INDIV_0064
DALIGNS002055	INDIV_0065
DALIGNS002026	INDIV_0066
DALIGNS002045	INDIV_0067
DALIGNS002042	INDIV_0068
DALIGNS001291	INDIV_0069
DALIGNS001293	INDIV_0070
DALIGNS001345	INDIV_0071
DALIGNS001607	INDIV_0072
DALIGNS002046	INDIV_0073
DALIGNS002062	INDIV_0074
DALIGNS002031	INDIV_0075
DALIGNS001528	INDIV_0076
DALIGNS002040	INDIV_0077
DALIGNS002041	INDIV_0078
DALIGNS002061	INDIV_0079
DALIGNS002037	INDIV_0080
DALIGNS002066	INDIV_0081
